id_viaje,ruta,estacion_origen,estacion_destino,dia_semana,hora_salida,pasajeros,distancia_km,tiempo_viaje_min,incidente,temperatura_c,lluvia_mm,cluster,cluster_label
V0106,R3 - Sur,Est. Bosa,Est. Portal Sur,Viernes,8,674,16.18,52.3,0,21.8,3.0,2,2
V0107,R5 - Occidental,Est. Avenida 68,Est. Garces Navas,Martes,7,607,13.99,36.2,0,20.1,8.8,2,2
V0108,R5 - Occidental,Est. Minuto de Dios,Est. Avenida 68,Jueves,7,523,6.92,14.3,0,20.7,10.5,1,1
V0109,R2 - Norte,Est. Toberin,Est. Portal Norte,Martes,16,570,11.4,20.1,0,15.2,10.2,3,3
V0110,R4 - Oriental,Est. Modelia,Est. La Granja,Viernes,8,477,4.66,8.5,0,21.6,6.1,1,1
V0111,R2 - Norte,Est. Calle 100,Est. Toberin,Viernes,18,745,8.65,16.7,0,14.8,0.2,0,0
V0112,R4 - Oriental,Est. La Granja,Est. Modelia,Sabado,18,577,12.29,23.5,0,21.6,8.7,3,3
V0113,R4 - Oriental,Est. La Granja,Est. Quirigua,Sabado,20,232,15.11,30.9,0,22.0,3.8,2,2
V0114,R5 - Occidental,Est. Avenida 68,Est. Portal 80,Martes,12,219,6.21,16.6,0,19.4,6.8,3,3
V0115,R1 - Centro,Est. La Sabana,Est. Central,Jueves,22,265,7.26,13.0,0,21.8,14.4,3,3
V0116,R1 - Centro,Est. La Sabana,Est. Central,Martes,18,779,10.75,21.9,0,18.1,6.0,0,0
V0117,R3 - Sur,Est. Portal Sur,Est. Kennedy,Viernes,7,724,9.61,20.9,0,15.3,12.6,1,1
V0118,R5 - Occidental,Est. Avenida 68,Est. Garces Navas,Viernes,20,290,11.57,34.9,0,16.9,2.8,0,0
V0119,R4 - Oriental,Est. La Granja,Est. Ferias,Miercoles,18,533,12.36,29.0,0,18.3,10.1,3,3
V0120,R1 - Centro,Est. La Sabana,Est. Paloquemao,Sabado,5,366,9.14,21.2,0,13.7,14.7,1,1
V0121,R4 - Oriental,Est. Modelia,Est. Ferias,Miercoles,7,507,6.56,12.0,0,18.6,1.5,1,1
V0122,R1 - Centro,Est. Ricaurte,Est. Paloquemao,Lunes,20,380,6.86,15.1,0,21.8,0.1,0,0
V0123,R1 - Centro,Est. La Sabana,Est. Ricaurte,Viernes,13,211,10.61,26.0,0,14.7,6.5,0,0
V0124,R1 - Centro,Est. Ricaurte,Est. La Sabana,Miercoles,17,688,8.6,14.9,0,20.1,1.4,0,0
V0125,R5 - Occidental,Est. Garces Navas,Est. Minuto de Dios,Martes,19,369,5.1,15.4,0,21.2,11.2,3,3
V0126,R2 - Norte,Est. Calle 100,Est. Toberin,Sabado,18,659,15.24,36.3,0,21.5,13.7,2,2
V0127,R4 - Oriental,Est. Quirigua,Est. Ferias,Sabado,5,282,4.94,15.8,0,21.6,6.5,1,1
V0128,R5 - Occidental,Est. Garces Navas,Est. Portal 80,Jueves,8,485,13.81,27.1,0,17.7,3.9,2,2
V0129,R5 - Occidental,Est. Avenida 68,Est. Garces Navas,Martes,18,586,7.42,13.2,0,21.8,6.5,3,3
V0130,R5 - Occidental,Est. Minuto de Dios,Est. Portal 80,Jueves,12,281,16.31,43.0,0,19.8,10.9,2,2
V0131,R5 - Occidental,Est. Avenida 68,Est. Portal 80,Miercoles,10,146,9.37,17.2,0,14.5,0.1,0,0
V0132,R5 - Occidental,Est. Avenida 68,Est. Minuto de Dios,Domingo,21,291,8.88,23.2,0,17.3,8.8,3,3
V0133,R3 - Sur,Est. NQS Sur,Est. Kennedy,Lunes,12,166,8.77,15.7,0,19.5,9.2,3,3
V0134,R4 - Oriental,Est. Quirigua,Est. Ferias,Martes,16,355,7.81,15.2,0,15.2,9.6,3,3
V0135,R5 - Occidental,Est. Avenida 68,Est. Minuto de Dios,Martes,17,482,15.35,29.1,0,18.8,3.6,2,2
V0136,R4 - Oriental,Est. Quirigua,Est. Ferias,Martes,21,148,15.16,49.7,0,19.0,10.7,2,2
V0137,R3 - Sur,Est. Portal Sur,Est. NQS Sur,Jueves,22,282,12.1,21.1,0,14.5,1.4,0,0
V0138,R3 - Sur,Est. NQS Sur,Est. Portal Sur,Miercoles,14,261,13.32,26.3,0,18.1,3.0,0,0
V0139,R4 - Oriental,Est. Modelia,Est. La Granja,Martes,18,571,12.24,31.7,0,19.9,13.2,3,3
V0140,R1 - Centro,Est. Paloquemao,Est. Central,Domingo,11,170,11.5,21.5,0,17.5,11.1,3,3
V0141,R2 - Norte,Est. Toberin,Est. Portal Norte,Martes,18,759,13.09,34.5,0,13.1,0.2,0,0
V0142,R1 - Centro,Est. Ricaurte,Est. La Sabana,Sabado,20,422,7.18,13.1,0,13.1,3.7,0,0
V0143,R1 - Centro,Est. La Sabana,Est. Central,Lunes,15,391,7.36,22.2,0,16.2,3.2,0,0
V0144,R1 - Centro,Est. Paloquemao,Est. La Sabana,Sabado,6,501,9.84,19.7,0,21.3,4.1,1,1
V0145,R5 - Occidental,Est. Avenida 68,Est. Minuto de Dios,Sabado,17,487,5.08,11.2,0,15.1,3.7,0,0
V0146,R3 - Sur,Est. Portal Sur,Est. Kennedy,Lunes,7,654,15.92,48.6,0,18.7,0.9,2,2
V0147,R1 - Centro,Est. Ricaurte,Est. La Sabana,Domingo,7,920,6.86,18.6,0,15.0,6.9,1,1
V0148,R3 - Sur,Est. NQS Sur,Est. Bosa,Miercoles,8,600,18.57,61.2,0,15.9,11.0,2,2
V0149,R4 - Oriental,Est. Quirigua,Est. Ferias,Sabado,10,222,5.55,12.8,0,20.6,9.1,1,1
V0150,R2 - Norte,Est. Portal Norte,Est. Alcala,Miercoles,6,494,13.02,33.8,0,19.6,10.1,2,2
V0151,R4 - Oriental,Est. Modelia,Est. Ferias,Sabado,7,581,9.68,20.6,0,13.9,1.2,0,0
V0152,R4 - Oriental,Est. Ferias,Est. Modelia,Viernes,20,137,11.39,29.6,1,16.9,14.3,3,3
V0153,R5 - Occidental,Est. Garces Navas,Est. Avenida 68,Lunes,8,493,5.8,15.1,0,13.3,12.6,1,1
V0154,R2 - Norte,Est. Toberin,Est. Portal Norte,Sabado,11,177,12.92,25.3,0,17.3,12.1,3,3
V0155,R4 - Oriental,Est. La Granja,Est. Ferias,Viernes,8,559,10.53,33.6,0,19.0,12.3,1,1
V0156,R4 - Oriental,Est. Quirigua,Est. La Granja,Jueves,22,305,10.53,18.9,0,14.1,14.0,3,3
V0157,R2 - Norte,Est. Toberin,Est. Alcala,Viernes,8,634,13.22,24.4,1,15.6,8.2,1,1
V0158,R2 - Norte,Est. Portal Norte,Est. Calle 100,Martes,15,377,14.16,28.9,0,16.6,3.0,0,0
V0159,R4 - Oriental,Est. Quirigua,Est. Modelia,Sabado,21,282,13.13,28.1,0,21.3,9.3,3,3
V0160,R2 - Norte,Est. Portal Norte,Est. Calle 100,Viernes,14,348,8.95,16.2,0,21.9,11.1,3,3
V0161,R4 - Oriental,Est. Quirigua,Est. Modelia,Miercoles,21,237,13.34,37.8,0,13.4,11.1,2,2
V0162,R4 - Oriental,Est. Quirigua,Est. La Granja,Jueves,15,177,9.86,30.6,0,19.8,7.8,3,3
V0163,R5 - Occidental,Est. Minuto de Dios,Est. Avenida 68,Domingo,20,279,5.95,16.2,0,16.3,1.0,0,0
V0164,R1 - Centro,Est. Paloquemao,Est. Ricaurte,Sabado,5,171,4.26,8.1,0,16.5,5.6,1,1
V0165,R4 - Oriental,Est. La Granja,Est. Modelia,Martes,17,567,8.12,26.2,0,19.8,13.8,3,3
V0166,R3 - Sur,Est. Portal Sur,Est. NQS Sur,Domingo,7,744,18.43,39.6,0,21.3,8.8,2,2
V0167,R1 - Centro,Est. Paloquemao,Est. La Sabana,Viernes,18,892,9.94,17.1,0,21.6,8.1,3,3
V0168,R1 - Centro,Est. Ricaurte,Est. Central,Domingo,19,618,10.65,19.6,0,18.2,4.0,0,0
V0169,R1 - Centro,Est. Paloquemao,Est. La Sabana,Domingo,15,293,8.28,18.5,0,16.2,5.5,0,0
V0170,R5 - Occidental,Est. Portal 80,Est. Avenida 68,Jueves,22,249,10.22,32.1,0,20.1,13.4,3,3
V0171,R4 - Oriental,Est. Ferias,Est. La Granja,Domingo,7,583,6.13,11.4,0,15.3,10.0,1,1
V0172,R5 - Occidental,Est. Garces Navas,Est. Minuto de Dios,Domingo,12,303,8.9,18.9,0,18.1,11.8,3,3
V0173,R4 - Oriental,Est. Ferias,Est. Modelia,Sabado,8,455,9.18,27.6,0,16.2,6.8,1,1
V0174,R5 - Occidental,Est. Minuto de Dios,Est. Avenida 68,Jueves,8,535,6.08,18.6,0,18.9,9.5,1,1
V0175,R5 - Occidental,Est. Minuto de Dios,Est. Portal 80,Martes,19,418,7.63,13.7,0,15.2,3.7,0,0
V0176,R3 - Sur,Est. Portal Sur,Est. Kennedy,Viernes,18,603,15.6,31.9,0,14.7,10.6,2,2
V0177,R5 - Occidental,Est. Garces Navas,Est. Portal 80,Jueves,15,194,13.69,25.6,0,21.3,6.4,2,2
V0178,R2 - Norte,Est. Alcala,Est. Toberin,Jueves,5,177,18.28,33.3,0,13.9,6.6,2,2
V0179,R3 - Sur,Est. Kennedy,Est. NQS Sur,Lunes,22,188,20.68,44.8,0,17.6,9.7,2,2
V0180,R5 - Occidental,Est. Minuto de Dios,Est. Portal 80,Jueves,16,438,12.6,28.2,0,15.0,14.0,3,3
V0181,R1 - Centro,Est. Ricaurte,Est. Central,Lunes,18,785,7.44,17.6,0,13.4,1.0,0,0
V0182,R2 - Norte,Est. Toberin,Est. Calle 100,Viernes,16,490,13.64,35.0,0,13.3,12.4,2,2
V0183,R2 - Norte,Est. Toberin,Est. Alcala,Domingo,9,463,15.55,36.7,0,14.6,4.4,2,2
V0184,R2 - Norte,Est. Alcala,Est. Toberin,Sabado,5,251,7.01,13.5,0,20.8,6.7,1,1
V0185,R3 - Sur,Est. Kennedy,Est. Portal Sur,Sabado,8,683,12.74,27.1,0,15.5,0.3,0,0
V0186,R5 - Occidental,Est. Minuto de Dios,Est. Avenida 68,Viernes,14,286,14.92,27.0,0,21.6,4.5,2,2
V0187,R5 - Occidental,Est. Minuto de Dios,Est. Portal 80,Viernes,19,445,9.55,22.4,0,18.2,7.5,3,3
V0188,R1 - Centro,Est. Ricaurte,Est. Central,Miercoles,16,508,8.75,18.5,0,16.9,0.8,0,0
V0189,R1 - Centro,Est. Paloquemao,Est. Ricaurte,Domingo,8,887,8.89,18.6,0,18.2,7.4,1,1
V0190,R2 - Norte,Est. Alcala,Est. Portal Norte,Viernes,17,693,7.85,16.8,0,17.7,13.9,3,3
V0191,R1 - Centro,Est. La Sabana,Est. Ricaurte,Jueves,8,685,6.92,13.9,0,19.8,1.6,1,1
V0192,R3 - Sur,Est. Portal Sur,Est. NQS Sur,Sabado,11,286,11.59,31.6,0,15.5,11.5,2,2
V0193,R5 - Occidental,Est. Garces Navas,Est. Avenida 68,Martes,19,426,5.35,12.0,0,16.2,6.1,0,0
V0194,R2 - Norte,Est. Portal Norte,Est. Calle 100,Sabado,8,729,5.8,17.6,0,21.0,9.8,1,1
V0195,R1 - Centro,Est. Ricaurte,Est. Paloquemao,Lunes,8,690,11.03,27.0,0,21.5,3.9,1,1
V0196,R3 - Sur,Est. NQS Sur,Est. Bosa,Sabado,21,173,10.66,24.3,0,21.0,2.4,0,0
V0197,R3 - Sur,Est. Kennedy,Est. NQS Sur,Miercoles,8,693,14.38,29.7,0,16.8,2.4,2,2
V0198,R1 - Centro,Est. Paloquemao,Est. Ricaurte,Domingo,7,811,6.36,11.2,0,20.0,1.1,1,1
V0199,R5 - Occidental,Est. Garces Navas,Est. Portal 80,Viernes,5,112,16.1,34.2,0,17.3,2.8,2,2
V0200,R1 - Centro,Est. Central,Est. La Sabana,Domingo,5,419,6.02,11.8,0,17.5,10.0,1,1
V0201,R2 - Norte,Est. Alcala,Est. Toberin,Viernes,17,703,10.99,24.8,0,14.8,13.2,3,3
V0202,R1 - Centro,Est. Paloquemao,Est. Ricaurte,Sabado,22,206,11.39,23.7,0,18.3,12.2,3,3
V0203,R3 - Sur,Est. Portal Sur,Est. Kennedy,Martes,13,275,19.3,60.3,0,14.7,10.3,2,2
V0204,R1 - Centro,Est. Ricaurte,Est. La Sabana,Martes,18,881,5.38,14.5,0,16.0,1.7,0,0
V0205,R5 - Occidental,Est. Minuto de Dios,Est. Garces Navas,Miercoles,8,642,14.48,36.0,0,20.7,4.3,2,2
V0206,R4 - Oriental,Est. Ferias,Est. Quirigua,Lunes,19,376,9.44,21.8,0,14.9,4.6,0,0
V0207,R1 - Centro,Est. Central,Est. La Sabana,Sabado,8,725,7.98,25.5,0,13.6,3.7,1,1
V0208,R5 - Occidental,Est. Minuto de Dios,Est. Avenida 68,Viernes,5,255,6.61,19.5,0,13.6,7.7,1,1
V0209,R5 - Occidental,Est. Minuto de Dios,Est. Garces Navas,Sabado,20,169,5.99,15.8,0,21.5,8.0,3,3
V0210,R3 - Sur,Est. NQS Sur,Est. Bosa,Miercoles,8,713,17.57,30.5,0,17.6,5.4,2,2
V0211,R5 - Occidental,Est. Portal 80,Est. Minuto de Dios,Jueves,7,469,10.88,27.6,0,16.7,5.3,1,1
V0212,R5 - Occidental,Est. Avenida 68,Est. Garces Navas,Jueves,13,276,10.18,23.3,0,20.3,12.4,3,3
V0213,R5 - Occidental,Est. Minuto de Dios,Est. Portal 80,Miercoles,7,514,13.62,38.3,0,20.5,11.8,2,2
V0214,R5 - Occidental,Est. Garces Navas,Est. Minuto de Dios,Viernes,18,520,14.04,29.7,0,16.0,4.6,0,0
V0215,R2 - Norte,Est. Portal Norte,Est. Alcala,Domingo,7,596,7.53,19.8,0,19.2,13.7,1,1
V0216,R2 - Norte,Est. Portal Norte,Est. Alcala,Miercoles,15,287,13.31,37.1,0,19.9,14.3,2,2
V0217,R3 - Sur,Est. NQS Sur,Est. Portal Sur,Viernes,7,647,8.57,19.2,0,18.9,4.9,1,1
V0218,R1 - Centro,Est. Ricaurte,Est. Paloquemao,Martes,18,777,10.32,34.2,0,14.4,5.3,0,0
V0219,R5 - Occidental,Est. Minuto de Dios,Est. Portal 80,Miercoles,22,200,12.77,42.3,0,20.9,7.6,2,2
V0220,R1 - Centro,Est. Ricaurte,Est. Paloquemao,Viernes,17,788,12.12,33.5,0,17.9,14.1,3,3
V0221,R1 - Centro,Est. Paloquemao,Est. Ricaurte,Miercoles,13,360,4.35,14.0,0,15.5,13.1,3,3
V0222,R3 - Sur,Est. Portal Sur,Est. Bosa,Miercoles,10,230,7.38,22.3,0,16.8,1.5,0,0
V0223,R5 - Occidental,Est. Minuto de Dios,Est. Portal 80,Domingo,11,127,8.36,21.1,0,13.3,5.9,0,0
